year,location,recovered
1991,Hong Kong,1561
1992,Hong Kong,1775
1993,Hong Kong,1743
1994,Hong Kong,1863
1995,Hong Kong,1932.9
1996,Hong Kong,1635.3
1997,Hong Kong,1541.6
1998,Hong Kong,1562.9
1999,Hong Kong,1536.3
2000,Hong Kong,1758.6
2001,Hong Kong,1938
2002,Hong Kong,1959.5
2003,Hong Kong,2377
2004,Hong Kong,2303
2005,Hong Kong,2594
2006,Hong Kong,2840
2007,Hong Kong,2812
2008,Hong Kong,3142
2009,Hong Kong,3181
2010,Hong Kong,3606
2011,Hong Kong,3019.4
2012,Hong Kong,2162.7
2013,Hong Kong,2008.6
2014,Hong Kong,2053.1
2015,Hong Kong,2032.8
2016,Hong Kong,1912.2
2017,Hong Kong,1830.4
2018,Hong Kong,1777.6